id,user_id,week_start,week_end,amount,tip_earnings,referral_earnings,bonus_earnings,created_at,updated_at
5c3dbba9-f09a-4e53-ac97-ed0e81cb182f,26ffa5a6-a66c-447c-8acd-b47592b215b2,2025-08-24,2025-08-30,14.67,0.00,14.67,0.00,2025-08-29 15:48:25.352666+00,2025-08-29 15:48:25.352666+00
8ffe029f-0dda-4a32-91cf-1880a7bb494b,fb1a9d1e-761c-43df-807a-1496f9c90422,2025-08-11,2025-08-17,68.65,0.00,68.65,0.00,2025-08-13 01:36:02.215364+00,2025-08-13 01:36:02.215364+00
91c6b42a-1c86-4f0e-9c60-82ee17316fcf,fb1a9d1e-761c-43df-807a-1496f9c90422,2025-08-25,2025-08-31,9.75,0.00,9.75,0.00,2025-08-29 16:07:27.738665+00,2025-08-29 16:07:27.738665+00
bd627ccd-b930-46ae-b88e-c71d0af4b51f,1a9f08d2-b719-4832-b1e8-08bca24eb0ed,2025-08-11,2025-08-17,137.30,0.00,137.30,0.00,2025-08-13 01:18:42.319738+00,2025-08-13 01:39:28.653+00
c627d7ab-68b0-4861-89eb-5e0ff011a5b5,ad8d63b1-97a4-4b62-bced-cc6f89865c9b,2025-08-11,2025-08-17,22.34,0.00,22.34,0.00,2025-08-29 03:33:01.639068+00,2025-08-29 03:33:01.639068+00
d0eec4fc-823d-4e99-b78f-a942d3eaf628,3df22cc9-a7b4-42a4-b599-fa60a1ff3b0c,2025-08-04,2025-08-10,0.00,0.00,0.00,0.00,2025-08-10 15:35:21.798486+00,2025-08-10 15:35:21.798486+00
d6119b17-9646-4090-8385-c962fe8ae8d0,ad8d63b1-97a4-4b62-bced-cc6f89865c9b,2025-08-04,2025-08-10,14.67,0.00,14.67,0.00,2025-08-10 15:35:21.798486+00,2025-08-10 15:35:21.798486+00
d78a269f-bed8-4975-bbd1-ab9ba2326375,ad8d63b1-97a4-4b62-bced-cc6f89865c9b,2025-08-25,2025-08-31,78.60,0.00,78.60,0.00,2025-08-28 08:00:26.051314+00,2025-08-29 03:33:01.639068+00
e5a9a3c8-e610-4a24-8864-8665ce729a39,2f772096-4d51-44ce-909d-a649ab83c86e,2025-08-11,2025-08-17,58.68,0.00,58.68,0.00,2025-08-29 03:33:01.639068+00,2025-08-29 03:33:01.639068+00
ff1f437f-1754-4619-a21a-33736936ffbc,26ffa5a6-a66c-447c-8acd-b47592b215b2,2025-08-25,2025-08-31,4.87,0.00,4.87,0.00,2025-08-29 16:07:27.952259+00,2025-08-29 16:07:27.952259+00
